date,nav
20230620,132319534.5029544
20230621,132261865.48143406
20230626,132210370.20001383
20230627,132249895.19381507
20230628,132276846.35179985
20230629,132293746.97003448
20230630,132301091.41146764
20230703,132293295.47984086
20230704,132299446.9623848
20230705,132275567.19009565
20230706,132277864.35074022
20230707,132274971.68733312
20230710,132262449.60150148
20230711,132289504.1837259
20230712,132276317.70464413
20230713,132304431.80572456
20230714,132303847.27878065
20230717,132298220.8026957
20230718,132307508.35550056
20230719,132311798.5010247
20230720,132290813.2857299
20230721,132308125.01500781
20230724,132305037.1746298
20230725,132384903.86027746
20230726,132422685.59024732
20230727,132394069.18679406
20230728,132483957.05503747
20230731,132582216.66822812
20230801,132584747.57195175
20230802,132585584.56418478
20230803,132597877.55834761
20230804,132599813.03353201
20230807,132549966.89419858
20230808,132500105.84072025
20230809,132475161.0061909
20230810,132472087.1475925
20230811,132452688.31819068
20230814,132454995.95342976
20230815,132472806.6012801
20230816,132483218.32390821
20230817,132493845.72174637
20230818,132492297.20916076
20230821,132476174.54951225
20230822,132481133.90292343
20230823,132468227.08113024
20230824,132447289.1755079
20230825,132440165.74889994
20230828,132446379.3401387
20230829,132464394.22935764
20230830,132469564.01457895
20230831,132450912.05649215
20230901,132455625.23742425
20230904,132525632.08282574
20230905,132488888.57411599
20230906,132500727.12152152
20230907,132475682.87536742
20230908,132486981.53989139
20230911,132523276.57942936
20230912,132523379.16590995
20230913,132526705.22260603
20230914,132565164.47649671
20230915,132589502.33351155
20230918,132600776.15588711
20230919,132609850.50780684
20230920,132569851.0570792
20230921,132535977.21651176
20230922,132548676.15007177
20230925,132546468.61556977
20230926,132556952.43843544
20230927,132585856.7131394
20230928,132613493.96109746
20231009,132608280.67731276
20231010,132613784.13960376
20231011,132612096.34491335
20231012,132652725.70914659
20231013,132666043.45470339
20231016,132666499.6098122
20231017,132660860.16477568
20231018,132682596.85179526
20231019,132658620.45528027
20231020,132618743.22509322
20231023,132631472.35333095
20231024,132635592.74631849
20231025,132665157.1818227
20231026,132689348.1829993
20231027,132729192.0862913
20231030,132722145.04528892
20231031,132715517.45534438
20231101,132711113.40612093
20231102,132677709.80663103
20231103,132673187.854195
20231106,132706001.05773595
20231107,132738468.79284681
20231108,132731949.9031427
20231109,132706717.16203035
20231110,132702120.50951187
20231113,132718586.37790638
20231114,132715931.39967881
20231115,132724712.73274127
20231116,132725327.62658581
20231117,132737589.80612347
20231120,132751509.85791384
20231121,132743763.89855926
20231122,132736275.8094278
20231123,132755934.48748265
20231124,132759000.12677602
20231127,132760761.28543417
20231128,132788431.12598307
20231129,132785825.19922754
20231130,132775558.63852806
20231201,132772053.63842389
20231204,132789196.40445873
20231205,132754456.41340987
20231206,132769645.07928409
20231207,132777116.77546221
20231208,132755961.21522354
20231211,132798928.29979828
20231212,132817710.16493933
20231213,132815474.6722694
20231214,132816701.74226926
20231215,132782770.00424454
20231218,132745406.99260305
20231219,132722594.89188814
20231220,132700689.91796906
20231221,132713465.27840662
20231222,132681004.60396911
20231225,132695472.27408884
20231226,132684492.60743293
20231227,132699108.17437384
20231228,132706285.63113554
20231229,132734867.52586249
20240102,132753056.11237155
20240103,132774661.71413197
20240104,132780846.2207252
20240105,132724459.39870681
20240108,132680579.87987344
20240109,132705677.28839037
20240110,132704401.34344634
20240111,132695642.28505224
20240112,132705029.23822108
20240115,132727057.63744853
20240116,132717374.6293684
20240117,132684492.72477104
20240118,132695484.5397661
20240119,132688021.50377625
20240122,132675012.2684839
20240123,132667126.95321508
20240124,132685300.313647
20240125,132740174.48482573
20240126,132792009.89058603
20240129,132789723.58628012
20240130,132749980.85692768
20240131,132706308.904215
20240201,132641137.47955841
20240202,132622585.95189853
20240205,132622446.3213236
20240206,132651601.25445971
20240207,132713867.9957424
20240208,132680696.62189254
20240219,132750309.1587261
20240220,132798046.05046315
20240221,132779812.19103941
20240222,132853867.52158386
20240223,132857578.14500387
20240226,132776897.33612134
20240227,132818171.52536409
20240228,132761980.15886687
20240229,132842326.6011121
20240301,132856051.36270182
20240304,132885156.1554879
20240305,132888859.22167227
20240306,132895309.33020808
20240307,132908455.58241145
20240308,132941163.80566457
20240311,132928519.32989927
20240312,132870571.90432109
20240313,132868891.09756501
20240314,132894765.26890878
20240315,132917886.37159999
20240318,132933669.23661338
20240319,132931977.080249
20240320,132932749.96994713
20240321,132943817.27912782
20240322,132921478.91966154
20240325,132920720.2091339
20240326,132927278.87646581
20240327,132919295.82614037
20240328,132919337.3588763
20240329,132960516.21417835
20240401,133001592.69756351
20240402,133037962.31711242
20240403,133108862.59788741
20240408,133093284.76358196
20240409,133072465.71987943
20240410,133087649.53098997
20240411,133174284.86852923
20240412,133189908.50235514
20240415,133258321.16039327
20240416,133127953.96238577
20240417,133355171.74238993
20240418,133347640.40660568
20240419,133434234.88820817
20240422,133339234.98145409
20240423,133230280.78569214
20240424,133271253.8695252
20240425,133264638.49473916
20240426,133308095.81188352
20240429,133336336.1611906
20240430,133310274.50403349
20240506,133447717.45871525
20240507,133462245.06264752
20240508,133372883.75518464
20240509,133449146.24850193
20240510,133458302.62096585
20240513,133460651.39971404
20240514,133476981.40288669
20240515,133428453.68769684
20240516,133406693.93872969
20240517,133484774.66562536
20240520,133540246.28530529
20240521,133490420.48678176
20240522,133481785.10548046
20240523,133395464.19262053
20240524,133391037.16475478
20240527,133399267.90054093
20240528,133404534.28600545
20240529,133434021.78710207
20240530,133374520.36127041
20240531,133377930.07848597
20240603,133374351.66405363
20240604,133385622.30320796
20240605,133367915.89466769
20240606,133388016.3492847
20240607,133393953.80539484
20240611,133373428.6843827
20240612,133380710.20826189
20240613,133382949.1134839
20240614,133380617.65655819
20240617,133421665.966817
20240618,133430314.3419414
20240619,133410448.40233551
20240620,133379081.12007852
20240621,133395632.99602735
20240624,133371878.8115321
20240625,133367335.24214423
20240626,133387912.10431713
20240627,133374712.52355531
20240628,133417145.08388866
20240701,133440086.5259765
20240702,133431391.34010218
20240703,133422823.67998512
20240704,133419253.81639989
20240705,133415773.65917808
20240708,133437073.06557524
20240709,133503429.5525337
20240710,133512860.92661914
20240711,133567891.0627382
20240712,133539256.3005016
20240715,133552394.76017034
20240716,133635927.63805827
20240717,133580691.89798093
20240718,133591606.49804486
20240719,133570538.77561304
20240722,133575639.03652558
20240723,133562923.93613318
20240724,133569109.94553503
20240725,133576538.9340697
20240726,133599374.29023102
20240729,133620321.50290895
20240730,133641641.81587312
20240731,133645878.84331256
20240801,133647873.35040314
20240802,133648183.54273346
20240805,133665449.56696597
