date,nav_hold,nav_switch_A,nav_switch_B
20240103,13351659.654228738,9345647.249571232,7571116.597944881
20240104,13154616.270901868,9345647.249571232,7454095.745250477
20240105,13110163.283623325,9345647.249571232,7428906.350401338
20240108,12957494.070221666,9345647.249571232,7342395.964190732
20240109,12933927.681575771,9345647.249571232,7329042.01195688
20240110,12937868.54924231,9345647.249571232,7331275.114337123
20240111,12977828.947381,9345647.249571232,7353918.772472785
20240112,12950164.056361906,9345647.249571232,7338242.393763481
20240115,12926045.946242698,9345647.249571232,7324575.807196395
20240116,12921553.357102845,9345647.249571232,7322030.070482917
20240117,12429496.620258985,9345647.249571232,7043204.907285801
20240118,12696450.995990226,9345647.249571232,7194475.262523448
20240119,12886637.269577324,9345647.249571232,7302244.783393966
20240122,12941809.416908847,9345647.249571232,7333508.216717365
20240123,12760529.504248125,9345647.249571232,7230785.507226196
20240124,12815701.65157965,9345647.249571232,7262048.940549596
20240125,12910282.475576548,9345647.249571232,7315643.397675423
20240126,12904922.895550055,9345647.249571232,7312606.378438292
20240129,13004863.299573446,9345647.249571232,7369237.854801251
20240130,12713239.092249677,9345647.249571232,7203988.278663283
20240131,12649475.853405103,9345647.249571232,7167856.682150954
20240201,12689830.338310445,9345647.249571232,7190723.65052464
20240202,12579249.591587406,9345647.249571232,7128062.797735027
20240205,12847307.41026528,9345647.249571232,7279958.421639143
20240206,13209788.41823339,9345647.249571232,7485359.178573876
20240207,13485570.337537678,9345647.249571232,7641631.683143267
20240208,13446240.478225635,9345647.249571232,7619345.321388445
20240219,13362930.535755035,9345647.249571232,7572137.537070112
20240220,13162498.006234942,9345647.249571232,7458561.950010963
20240221,13538141.512209289,9345647.249571232,7671421.268895707
20240222,13543816.361649103,9345647.249571232,7674636.936323257
20240223,13510003.71707021,9345647.249571232,7655476.917900773
20240226,13359383.754855152,9345647.249571232,7570127.744927893
20240227,13316191.845229901,9345647.249571232,7545652.942840432
