entry_i,entry_date,entry_px_g,entry_px,first_cond_i,cash_before_g,cash_before_n,unclear,exit_i,exit_date,exit_px_g,exit_px,hold_days,ret_n,ret_g,lag,chase,exit_cls,late_cls,code,regime,near_turning_entry,near_turning_exit,top_drawback,missed,open_at_end
1788,20190708,54.12232,54.17644231999999,1785,843584.6062782826,815300.8338921512,22,1826,20190829,50.72582,50.67509418,38,-0.06565720954546861,-0.06275599419980527,-0.002434456928838813,0.11677148846960161,提前结束(暂时反走),发现太晚,002594.SZ,震荡段,True,False,-0.15271786022433131,0.056415478615071235,
1911,20200106,48.299888,48.348187888,1908,790644.6156196377,761770.456198699,21,1965,20200330,56.056000000000004,55.999944000000006,54,0.15698984759515855,0.16058240135049595,-0.005678597110120531,0.10256574263225304,提前结束(暂时反走),发现太晚,002594.SZ,上升段,False,True,-0.25817941952506596,0.10955006224435349,
2024,20200629,72.87280000000001,72.94567280000001,2021,917608.226610679,881360.684019827,106,2197,20210315,182.121,181.93887900000001,173,1.491426828747044,1.4991629249871,0.05147058823529416,0.29271379497378414,正确结束,发现太晚,002594.SZ,上升段,True,True,-0.36254892636353664,0.03655457362561698,
2257,20210611,218.586,218.804586,2254,2293252.45960857,2195845.6539698434,37,2319,20210908,283.45799999999997,283.174542,62,0.2927660639771643,0.29678021465235616,0.056654011143434824,0.5201815989217564,正确结束,发现太晚,002594.SZ,上升段,True,True,-0.1503624330286797,0.06643421491895118,
2492,20220602,301.92,302.22191999999995,2489,2973844.4168232456,2838714.743183957,51,2558,20220905,274.4607,274.18623929999995,66,-0.09376287169675601,-0.09094892686804468,-0.007111230377029321,0.3527718111603675,提前结束(暂时反走),发现太晚,002594.SZ,混合,True,True,-0.25085256908314246,0.0667137966959368,
2926,20240315,215.24999999999997,215.46524999999994,2923,2703376.458440645,2572548.69693511,138,3096,20241127,289.780928,289.491147072,170,0.342085567457622,0.3462528594657379,0.023890784982935287,0.2901640351416108,提前结束(暂时反走),发现太晚,002594.SZ,上升段,True,True,-0.16873742752337006,0.04626334519572972,
3151,20250221,379.76160000000004,380.1413616,3148,3639428.287388078,3452580.477738523,68,3235,20250626,357.256056,356.898799944,84,-0.06217432508574661,-0.05926229508196745,0.027454943574195534,0.39582777163342375,正确结束,发现太晚,002594.SZ,混合,True,True,-0.19075255407933245,0.026967757230915268,
3408,20260316,313.950533,314.264483533,3405,3423747.4142912263,3237918.6167309056,39,3453,20260522,294.673145,294.378471855,45,-0.06430803332937651,-0.061402628674626425,0.004535375932271712,0.1605728924080112,提前结束(暂时反走),发现太晚,002594.SZ,震荡段,True,True,-0.16159899839026992,0.06133333333333324,
3,20120221,41.98644,42.02842644,0,1000000.0,1000000.0,17,30,20120329,38.81706,38.77824294,27,-0.0783476102526125,-0.07548579970104641,0.011592741935483986,0.11191135734072022,提前结束(暂时反走),发现太晚,601318.SH,预热期,False,False,-0.14123222748815167,0.1926048565121412,
53,20120508,44.12028,44.164400279999995,50,924514.2002989536,921652.3897473875,60,126,20120821,43.342400000000005,43.299057600000005,73,-0.020671793416602524,-0.017630894454885526,-0.02089136490250698,0.1684210526315788,正确结束,发现太晚,601318.SH,震荡段,False,True,-0.1185586806271185,0.03701899659035557,
208,20121220,43.9824,44.026382399999996,205,908214.1880114399,902600.1819446115,36,264,20130320,43.876799999999996,43.832923199999996,56,-0.0054890032253365195,-0.0024009603841537164,-0.02023053399200192,0.2037572254335258,提前结束(暂时反走),发现太晚,601318.SH,上升段,False,True,-0.19110193354608596,0.01624506846135998,
382,20130912,40.622,40.662622,379,906033.6017256981,897645.8066347282,21,408,20131029,38.21675,38.17853325,26,-0.06212271656848789,-0.05921052631578949,0.015117559919474166,0.1534311609840311,提前结束(暂时反走),发现太晚,601318.SH,震荡段,True,True,-0.06936708860759488,0.13928182807399359,
432,20131202,44.288669999999996,44.33295866999999,429,852386.8753077291,841881.6106102673,53,491,20140303,40.910630000000005,40.869719370000006,59,-0.07913260503225672,-0.07627323195751845,-0.00024131274131267144,0.15243393602225286,正确结束,发现太晚,601318.SH,混合,False,True,-0.14957456336766684,0.010795155344918594,
594,20140730,47.28340000000001,47.330683400000005,591,787372.5734498383,775261.3256339248,160,815,20150629,85.95200000000001,85.866048,221,0.8121780103960563,0.81780498018332,0.029688972667295088,0.12803304078471855,提前结束(暂时反走),发现太晚,601318.SH,上升段,True,True,-0.1885471898197243,0.12428123366440169,
879,20150929,67.14744,67.21458744,876,1431289.785276873,1404911.526624295,57,958,20160126,65.89173,65.82583826999999,79,-0.021738374536472205,-0.018700787401574992,-0.02119460500963377,0.24385117674845125,中性,发现太晚,601318.SH,震荡段,True,True,-0.2283526927138333,0.08279165241190567,
1112,20160909,79.3632,79.4425632,1109,1404523.5392923644,1374371.033667929,315,1504,20180425,150.83536,150.68452464,392,0.8946873730010247,0.9005705415104228,0.008252703471826939,0.10228335401188726,正确结束,发现太晚,601318.SH,震荡段,True,True,-0.19414370078740173,0.00595419847328249,
1608,20180921,153.47328,153.62675327999997,1605,2669396.0636370247,2604003.4433089914,50,1665,20181219,143.411,143.26758900000002,57,-0.06845624957397278,-0.06556372549019607,0.018091079226450146,0.13928941038315523,正确结束,发现太晚,601318.SH,混合,True,False,-0.13396715643906665,0.0009980039920161055,
1696,20190211,147.83088,147.97871088,1693,2494380.512896117,2425743.1337023466,32,1768,20190528,184.69439999999997,184.50970559999996,72,0.2454954141561707,0.2493627853666296,0.026612244897959325,0.14452129595922836,提前结束(暂时反走),发现太晚,601318.SH,上升段,True,True,-0.09954843464441454,0.13262565545466187,
1788,20190626,206.89874999999998,207.10564874999994,1785,3116386.1853561345,3021251.9489470916,94,1899,20191206,204.26940000000002,204.06513060000003,111,-0.015764526424406178,-0.012708389973356327,-0.013868364215073314,0.17261255859201752,中性,发现太晚,601318.SH,震荡段,True,False,-0.08389189189189183,0.025083267756970562,
1999,20200511,179.031768,179.210799768,1996,3076781.9344050484,2973623.3427631264,145,2159,20201231,211.70686500000002,211.49515813500003,160,0.17884962015132522,0.1825100503950785,0.008303976806680602,0.09833111759299129,提前结束(暂时反走),发现太晚,601318.SH,震荡段,True,True,-0.08074402874656517,0.02665034837197955,
2519,20220630,123.77664,123.90041663999999,2516,3638325.560307981,3505454.7480894253,17,2545,20220805,109.20379199999999,109.09458820799999,26,-0.12046607181297542,-0.11773504273504276,0.0,0.15470022205773493,中性,发现太晚,601318.SH,震荡段,False,False,-0.12639327024185065,0.06596051998074137,
2571,20220913,118.169664,118.28783366399999,2568,3209967.1449811226,3083166.384668949,16,2596,20221025,101.631352,101.52972064800001,25,-0.14261620735968872,-0.1399539563724238,0.02477064220183478,0.1758701563405265,提前结束(暂时反走),发现太晚,601318.SH,震荡段,False,True,-0.15416640133303616,0.1386532343584308,
2624,20221202,121.21120800000001,121.332419208,2621,2760719.5432155207,2643456.8882285804,171,2831,20231013,133.41369,133.28027631,207,0.0972641347167773,0.10067123495708397,0.0008932559178205235,0.23233434149023946,正确结束,发现太晚,601318.SH,震荡段,False,True,-0.117229660130581,0.0033354179695643804,
2917,20240221,119.951484,120.07143548399998,2914,3038644.589001184,2900570.435123238,15,2942,20240327,115.970164,115.854193836,25,-0.03618381860172459,-0.03319108582266472,-0.014025245441795287,0.12121212121212133,正确结束,发现太晚,601318.SH,震荡段,True,True,-0.08548931383577063,0.027798277982779895,
2976,20240521,128.19850399999999,128.32670250399997,2973,2937788.67566307,2795616.720657213,15,2998,20240621,117.989262,117.871272738,22,-0.08248516539126038,-0.07963620230700963,0.047154471544715415,0.1963906581740975,提前结束(暂时反走),发现太晚,601318.SH,震荡段,False,False,-0.09511400651465785,0.03558998492723431,
3066,20240927,152.95968,153.11263967999997,3063,2703834.3423527237,2565019.81308323,66,3136,20250113,145.22184,145.07661815999998,70,-0.053526331700496255,-0.050587448927717604,0.11612903225806437,0.2410329985652797,提前结束(暂时反走),发现太晚,601318.SH,上升段,True,True,-0.21359372406585198,0.0779995883926734,
3212,20250513,158.132445,158.29057744499997,3209,2567054.2606499465,2427723.711749792,175,3423,20260325,183.2688,183.0855312,211,0.15537008246325112,0.15895760670746606,0.015973826020015514,0.1231914893617021,中性,发现太晚,601318.SH,震荡段,False,True,-0.2148771367521367,0.0178601803027727,
3509,20260731,177.79308899999998,177.97088208899996,3506,2975107.062211066,2804919.3450423474,11,3523,20260821,172.741965,172.741965,14,-0.029671843362247152,-0.028410125660171093,0.028084628346751517,0.17078891257995732,期末持仓,发现太晚,601318.SH,震荡段,True,False,-0.040122346167686174,,True
9,20120228,486.4989,486.98539889999995,6,1000000.0,1000000.0,153,187,20121120,419.2704,418.8511296,178,-0.14085610681158556,-0.13818839055956755,0.012544802867383575,0.18168233275744505,正确结束,发现太晚,000858.SZ,震荡段,False,True,-0.2670037926675094,0.010003449465332936,
220,20130109,409.66212,410.07178211999997,217,861811.6094404324,859143.8931884144,36,265,20130320,325.95362,325.62766638,45,-0.206798425167669,-0.20433546552949533,0.008602150537634579,0.2761904761904763,提前结束(暂时反走),发现太晚,000858.SZ,下降段,True,True,-0.20902203856749324,0.01697866782760138,
314,20130604,345.7525,346.09825249999994,311,685712.9330266981,681474.2890846303,76,394,20131008,270.03648000000004,269.76644352000005,80,-0.2214066743132267,-0.21898907455477545,-0.01041666666666663,0.2948431945930585,提前结束(暂时反走),发现太晚,000858.SZ,混合,False,True,-0.22388901968317887,0.03209739900387398,
501,20140314,265.2144,265.4796144,498,535549.2924129408,530591.3331084319,113,645,20141016,277.88504,277.60715496,144,0.0445317215754939,0.04777508310257672,0.06088004822182036,0.19484046164290558,中性,发现太晚,000858.SZ,混合,True,True,-0.13022113022113035,0.027683615819209084,
680,20141204,305.0149,305.31991489999996,677,561135.2043634951,554219.4786247867,23,727,20150211,332.14476,331.81261524,47,0.08557521030725113,0.08894601542416458,0.03183023872679036,0.13742690058479523,中性,发现太晚,000858.SZ,上升段,True,True,-0.15310621242484967,0.08187411263606248,
