date,nav_hold,nav_switch_A,nav_switch_B
20160926,1555848.473071425,1103698.3521478423,1629729.7459448583
20160927,1559290.6157109637,1106140.162661444,1633335.3427279224
20160928,1557569.5443911946,1104919.2574046433,1631532.5443363907
20160929,1559290.6157109637,1106140.162661444,1633335.3427279224
20160930,1561011.6870307329,1107361.0679182445,1635138.1411194543
20161010,1569617.0436295792,1113465.5942022481,1644152.133077114
20161011,1574780.2575888874,1117128.3099726504,1649560.5282517096
20161012,1571338.1149493488,1114686.499459049,1645954.931468646
20161013,1561011.6870307329,1107361.0679182445,1635138.1411194543
20161014,1564453.8296702714,1109802.878431846,1638743.737902518
20161017,1557569.5443911946,1104919.2574046433,1631532.5443363907
20161018,1564453.8296702714,1109802.878431846,1638743.737902518
20161019,1562732.7583505022,1108581.9731750453,1636940.9395109862
20161020,1561011.6870307329,1107361.0679182445,1635138.1411194543
20161021,1571338.1149493488,1114686.499459049,1645954.931468646
20161024,1590269.8994668107,1128116.4572838568,1665785.7137754972
20161025,1585106.6855075029,1124453.7415134546,1660377.3186009014
20161026,1574780.2575888874,1117128.3099726504,1649560.5282517096
20161027,1576501.3289086565,1118349.215229451,1651363.3266432416
20161028,1578222.4002284259,1119570.1204862518,1653166.1250347735
20161031,1574780.2575888874,1117128.3099726504,1649560.5282517096
20161101,1573059.186269118,1115907.4047158496,1647757.7298601777
20161102,1561011.6870307329,1107361.0679182445,1635138.1411194543
20161103,1571338.1149493488,1114686.499459049,1645954.931468646
20161104,1567895.9723098099,1112244.6889454473,1642349.3346855817
20161107,1569617.0436295792,1113465.5942022481,1644152.133077114
20161108,1574780.2575888874,1117128.3099726504,1649560.5282517096
20161109,1561011.6870307329,1107361.0679182445,1635138.1411194543
20161110,1573059.186269118,1115907.4047158496,1647757.7298601777
20161111,1579943.471548195,1120791.0257430524,1654968.9234263054
20161114,1586827.7568272722,1125674.6467702554,1662180.1169924333
20161115,1588548.8281470414,1126895.552027056,1663982.915383965
20161116,1588548.8281470414,1126895.552027056,1663982.915383965
20161117,1585106.6855075029,1124453.7415134546,1660377.3186009014
20161118,1579943.471548195,1120791.0257430524,1654968.9234263054
20161121,1590269.8994668107,1128116.4572838568,1665785.7137754972
