trial,total,ann,sharpe,mdd,n_A,n_G,has_cashbond,eq_total
115,-0.337258897302121,-0.0570683871426535,-0.24892861314442527,-0.4200863118486459,4,6,True,0.9815632372624521
116,-0.1278122720085757,-0.019344338902604008,-0.08198501113310988,-0.37863066555860225,3,7,True,1.0587034712610417
117,-0.2344461315037143,-0.037442397635063296,-0.11979586403022725,-0.5724707778269341,6,4,True,0.8018325840016198
118,0.23224804801489207,0.03028080867185068,0.16158592379308476,-0.28638828546293976,6,4,False,1.3526640964691587
119,0.6523093862809299,0.07436750385854562,0.3915154114506818,-0.3451332065306297,5,5,True,1.5104098954931788
120,-0.08271125527729306,-0.012256348089096258,-0.051812539308374934,-0.380550729504716,7,3,True,0.8055744605175961
121,-0.14429194474759,-0.022012786580703048,-0.08910017410714406,-0.45495264176349365,4,6,True,0.7314993088085397
122,1.1734972924582534,0.11727704747505108,0.6417274430177092,-0.22580775345830278,6,4,True,0.692414532954488
123,-0.43817081258352375,-0.07905714531479557,-0.2810701165558036,-0.5780210624118589,5,5,True,0.6373769070630013
124,0.06010476059967518,0.008372285661041534,0.03863527438165429,-0.22717900864519805,5,5,True,0.9506228783426609
125,0.4014818835998435,0.049395076617575695,0.2661701368281577,-0.22028765396610764,4,6,True,0.7616808938168718
126,0.4108277587827016,0.05039184241934169,0.2656213794782651,-0.3319216305081005,6,4,True,1.1354300601078346
127,0.4271728095346894,0.052121566254955454,0.2688485057534451,-0.28289695152142624,3,7,True,0.5044587176742934
128,-0.21973851411163647,-0.03482237873539096,-0.10113805669730311,-0.45146847515489724,5,5,True,0.6810373073363498
129,-0.16766835538929958,-0.02587455958722007,-0.0572313458280433,-0.5702644909891769,4,6,True,0.8564722501113784
130,0.012126185007446555,0.0017232077874318463,0.027346128696984013,-0.390987775969806,5,5,True,1.029597184117589
131,-0.09399370196263568,-0.01400097190932803,-0.09317489883254433,-0.30856669429058126,3,7,True,0.7525658493930072
132,0.3357221150655445,0.04221588762661943,0.22575398717316797,-0.2792015027357524,3,7,True,1.2785783474802312
133,0.28679798229311215,0.036675438699266705,0.19949108843697363,-0.29249755479329315,7,3,True,0.6218262403195991
134,0.08763486770138318,0.01207189549998744,0.07562611120678309,-0.36718483420836445,6,4,True,0.6772783752504987
135,-0.09563425662086478,-0.014256202515939953,-0.058670290432010164,-0.35732186238943126,5,5,True,0.6564718733989263
136,-0.4506723106940326,-0.08201263453332253,-0.3344581137236299,-0.5091712892653949,4,6,True,0.7192467068338708
137,-0.4319045160054623,-0.07759687866152476,-0.316749306111558,-0.569620963667856,6,4,True,0.609952213365996
138,-0.31580179802417585,-0.05276690501467296,-0.18547872852591316,-0.5121800363948247,5,5,True,0.9561753139164995
139,0.6120366083223012,0.07058730512312938,0.3741896520892451,-0.22298462798138477,5,5,True,1.123459110685026
140,-0.3052003254770568,-0.05068416757054883,-0.16506733154892594,-0.5461675851614044,5,5,True,0.635538378994134
141,-0.5218261727524721,-0.10002381294052376,-0.4351869916100336,-0.5527253931579302,4,6,True,0.6964426168298772
142,-0.44553756025281854,-0.08079181692438031,-0.32612764584573173,-0.48211879327042145,4,6,True,0.8497666538426052
143,0.32521612704881697,0.041040972125204744,0.21803443345749107,-0.3691120775206148,6,4,True,0.6150509253579695
144,-0.16778621264936755,-0.02589426387189775,-0.0561241716135179,-0.5980644180792702,5,5,True,0.9464478447701803
145,1.1538118477059114,0.11582594362694754,0.5841851009051228,-0.2751587754354394,7,3,True,0.8710924289103035
146,-0.39066122651720936,-0.06831618776917658,-0.2338088207915585,-0.5460591123979743,6,4,True,0.8134245438818295
147,-0.5679577071844615,-0.11297182670938077,-0.4449570273587283,-0.5973612900613208,4,6,True,0.48580409117202294
148,-0.11965930780136635,-0.018040126686018843,-0.016624049157357726,-0.38864746357803287,4,6,True,0.8303462368259533
149,0.6378164261686949,0.07301631356811278,0.49498970504398665,-0.14945088661053912,8,2,True,0.9047369657053985
150,-0.5693505785723334,-0.11338088247324962,-0.44956848370595276,-0.5971788088767248,3,7,True,0.6036933425834381
151,0.34944144903609287,0.043738292782208976,0.2322535855001485,-0.3052236152854461,6,4,True,0.8517719022735808
152,-0.12459394691079284,-0.018828267025116197,-0.1286908740976784,-0.325147327946286,6,4,True,0.6453098303437903
153,-0.05799118265557568,-0.00849723600055663,-0.025354277153725135,-0.3528786629097485,4,6,True,0.9553929738605424
154,-0.17404635730559137,-0.02694433678938246,-0.049935279698535964,-0.5811998485744088,4,6,True,0.8187356487807234
155,1.0323637631889215,0.10661334751273399,0.5505530483993708,-0.27954977666238223,5,5,True,0.6336141297314442
